collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),500.0,K,1.7e-23,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),600.0,K,4.9e-24,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),700.0,K,1.9e-24,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),800.0,K,9.3e-25,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),900.0,K,5.2e-25,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),1000.0,K,3.2e-25,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),1500.0,K,6.4e-26,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),2000.0,K,2.4e-26,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),2500.0,K,1.2e-26,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),3000.0,K,6.9e-27,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),4000.0,K,3e-27,cm6/s,,,4.0,6.0,
141,K2+ (ground state) → K (n=4) + K (n=6),K2+ (ground state),K (n=4) + K (n=6),5000.0,K,1.6e-27,cm6/s,,,4.0,6.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),500.0,K,4.4e-24,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),600.0,K,1.5e-24,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),700.0,K,7.1e-25,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),800.0,K,3.8e-25,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),900.0,K,2.3e-25,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),1000.0,K,1.5e-25,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),1500.0,K,3.7e-26,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),2000.0,K,1.5e-26,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),2500.0,K,7.7e-27,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),3000.0,K,4.6e-27,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),4000.0,K,2.1e-27,cm6/s,,,4.0,7.0,
142,K2+ (ground state) → K (n=4) + K (n=7),K2+ (ground state),K (n=4) + K (n=7),5000.0,K,1.1e-27,cm6/s,,,4.0,7.0,
143,K2+ (ground state) → K (n=4) + K (n=8),K2+ (ground state),K (n=4) + K (n=8),500.0,K,1.6e-24,cm6/s,,,4.0,8.0,
