collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),2000.0,K,2.82409e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),3000.0,K,4.42323e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),5000.0,K,6.24561e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),7000.0,K,7.18872e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),8000.0,K,7.50148e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),9000.0,K,7.74978e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),10000.0,K,7.95119e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),15000.0,K,8.56558e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),20000.0,K,8.87458e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),25000.0,K,9.05872e-09,cm3/s,1,4,1,5,1
1,H (n=1) + H (n=4) → H (n=1) + H (n=5),H (n=1) + H (n=4),H (n=1) + H (n=5),30000.0,K,9.18031e-09,cm3/s,1,4,1,5,1
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),2000.0,K,3.2878e-10,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),3000.0,K,7.2276e-10,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),5000.0,K,1.32049e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),7000.0,K,1.68755e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),8000.0,K,1.81762e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),9000.0,K,1.9238e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),10000.0,K,2.01179e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),15000.0,K,2.29039e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),20000.0,K,2.43614e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),25000.0,K,2.5247e-09,cm3/s,1,4,1,6,2
2,H (n=1) + H (n=4) → H (n=1) + H (n=6),H (n=1) + H (n=4),H (n=1) + H (n=6),30000.0,K,2.58383e-09,cm3/s,1,4,1,6,2
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),2000.0,K,9.004e-11,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),3000.0,K,2.4014e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),5000.0,K,5.0917e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),7000.0,K,6.9174e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),8000.0,K,7.5905e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),9000.0,K,8.1493e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),10000.0,K,8.6185e-10,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),15000.0,K,1.01388e-09,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),20000.0,K,1.09539e-09,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),25000.0,K,1.14553e-09,cm3/s,1,4,1,7,3
3,H (n=1) + H (n=4) → H (n=7) + H (n=1),H (n=1) + H (n=4),H (n=7) + H (n=1),30000.0,K,1.17927e-09,cm3/s,1,4,1,7,3
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),2000.0,K,3.617e-11,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),3000.0,K,1.0906e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),5000.0,K,2.5438e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),7000.0,K,3.5948e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),8000.0,K,3.9924e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),9000.0,K,4.3261e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),10000.0,K,4.6087e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),15000.0,K,5.5383e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),20000.0,K,6.0448e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),25000.0,K,6.359e-10,cm3/s,1,4,1,8,4
4,H (n=1) + H (n=4) → H (n=8) + H (n=1),H (n=1) + H (n=4),H (n=8) + H (n=1),30000.0,K,6.5714e-10,cm3/s,1,4,1,8,4
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),2000.0,K,1.806e-11,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),3000.0,K,5.92e-11,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),5000.0,K,1.4738e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),7000.0,K,2.1397e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),8000.0,K,2.396e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),9000.0,K,2.6128e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),10000.0,K,2.7975e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),15000.0,K,3.4114e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),20000.0,K,3.7496e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),25000.0,K,3.9606e-10,cm3/s,1,4,1,9,5
5,H (n=1) + H (n=4) → H (n=9) + H (n=1),H (n=1) + H (n=4),H (n=9) + H (n=1),30000.0,K,4.1037e-10,cm3/s,1,4,1,9,5
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),2000.0,K,2.68161e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),3000.0,K,3.37083e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),5000.0,K,4.0061e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),7000.0,K,4.2943e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),8000.0,K,4.38513e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),9000.0,K,4.45573e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),10000.0,K,4.51208e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),15000.0,K,4.67927e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),20000.0,K,4.76096e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),25000.0,K,4.80898e-09,cm3/s,1,5,1,6,1
6,H (n=1) + H (n=5) → H (n=1) + H (n=6),H (n=1) + H (n=5),H (n=1) + H (n=6),30000.0,K,4.84047e-09,cm3/s,1,5,1,6,1
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),2000.0,K,5.0323e-10,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),3000.0,K,7.6422e-10,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),5000.0,K,1.04763e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),7000.0,K,1.18951e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),8000.0,K,1.23592e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),9000.0,K,1.27255e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),10000.0,K,1.30213e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),15000.0,K,1.39164e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),20000.0,K,1.43627e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),25000.0,K,1.46275e-09,cm3/s,1,5,1,7,2
7,H (n=1) + H (n=5) → H (n=7) + H (n=1),H (n=1) + H (n=5),H (n=7) + H (n=1),30000.0,K,1.4802e-09,cm3/s,1,5,1,7,2
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),2000.0,K,1.7648e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),3000.0,K,3.0197e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),5000.0,K,4.5344e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),7000.0,K,5.3427e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),8000.0,K,5.6137e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),9000.0,K,5.8299e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),10000.0,K,6.0057e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),15000.0,K,6.5453e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),20000.0,K,6.8182e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),25000.0,K,6.9812e-10,cm3/s,1,5,1,8,3
8,H (n=1) + H (n=5) → H (n=8) + H (n=1),H (n=1) + H (n=5),H (n=8) + H (n=1),30000.0,K,7.089e-10,cm3/s,1,5,1,8,3
9,H (n=1) + H (n=5) → H (n=9) + H (n=1),H (n=1) + H (n=5),H (n=9) + H (n=1),2000.0,K,8.211e-11,cm3/s,1,5,1,9,4
9,H (n=1) + H (n=5) → H (n=9) + H (n=1),H (n=1) + H (n=5),H (n=9) + H (n=1),3000.0,K,1.5238e-10,cm3/s,1,5,1,9,4
9,H (n=1) + H (n=5) → H (n=9) + H (n=1),H (n=1) + H (n=5),H (n=9) + H (n=1),5000.0,K,2.4354e-10,cm3/s,1,5,1,9,4
9,H (n=1) + H (n=5) → H (n=9) + H (n=1),H (n=1) + H (n=5),H (n=9) + H (n=1),7000.0,K,2.9437e-10,cm3/s,1,5,1,9,4
