collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),500.0,K,3.5e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),600.0,K,2.9e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),700.0,K,2.4e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),800.0,K,2.1e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),900.0,K,1.9e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),1000.0,K,1.6e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),1500.0,K,1e-26,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),2000.0,K,7.4e-27,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),2500.0,K,5.6e-27,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),3000.0,K,4.5e-27,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),4000.0,K,3.1e-27,cm6/s,3,4,4,6,2
156,K (n=4) + K+ (n=3) → K (n=4) + K (n=6),K (n=4) + K+ (n=3),K (n=4) + K (n=6),5000.0,K,2.4e-27,cm6/s,3,4,4,6,2
157,K (n=4) + K+ (n=3) → K (n=4) + K (n=7),K (n=4) + K+ (n=3),K (n=4) + K (n=7),500.0,K,3.4e-26,cm6/s,3,4,4,7,3
157,K (n=4) + K+ (n=3) → K (n=4) + K (n=7),K (n=4) + K+ (n=3),K (n=4) + K (n=7),600.0,K,2.8e-26,cm6/s,3,4,4,7,3
157,K (n=4) + K+ (n=3) → K (n=4) + K (n=7),K (n=4) + K+ (n=3),K (n=4) + K (n=7),700.0,K,2.4e-26,cm6/s,3,4,4,7,3
