collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),500.0,K,2.56e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),600.0,K,2.4e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),700.0,K,2.27e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),800.0,K,2.18e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),900.0,K,2.1e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1000.0,K,2.04e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1100.0,K,1.98e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1200.0,K,1.94e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1300.0,K,1.9e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1400.0,K,1.87e-09,cm3/s,4,6,,,
121,K (n=4) + K (n=6) → K2+ (ground state),K (n=4) + K (n=6),K2+ (ground state),1500.0,K,1.85e-09,cm3/s,4,6,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),500.0,K,3.23e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),600.0,K,3.01e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),700.0,K,2.85e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),800.0,K,2.72e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),900.0,K,2.62e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1000.0,K,2.54e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1100.0,K,2.47e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1200.0,K,2.41e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1300.0,K,2.36e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1400.0,K,2.32e-09,cm3/s,4,7,,,
122,K (n=4) + K (n=7) → K2+ (ground state),K (n=4) + K (n=7),K2+ (ground state),1500.0,K,2.28e-09,cm3/s,4,7,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),500.0,K,3.77e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),600.0,K,3.51e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),700.0,K,3.32e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),800.0,K,3.17e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),900.0,K,3.04e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1000.0,K,2.94e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1100.0,K,2.86e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1200.0,K,2.79e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1300.0,K,2.73e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1400.0,K,2.68e-09,cm3/s,4,8,,,
123,K (n=4) + K (n=8) → K2+ (ground state),K (n=4) + K (n=8),K2+ (ground state),1500.0,K,2.63e-09,cm3/s,4,8,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),500.0,K,4.21e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),600.0,K,3.92e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),700.0,K,3.7e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),800.0,K,3.53e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),900.0,K,3.39e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1000.0,K,3.28e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1100.0,K,3.18e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1200.0,K,3.1e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1300.0,K,3.03e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1400.0,K,2.97e-09,cm3/s,4,9,,,
124,K (n=4) + K (n=9) → K2+ (ground state),K (n=4) + K (n=9),K2+ (ground state),1500.0,K,2.92e-09,cm3/s,4,9,,,
125,K (n=4) + K (n=10) → K2+ (ground state),K (n=4) + K (n=10),K2+ (ground state),500.0,K,4.55e-09,cm3/s,4,10,,,
125,K (n=4) + K (n=10) → K2+ (ground state),K (n=4) + K (n=10),K2+ (ground state),600.0,K,4.23e-09,cm3/s,4,10,,,
