collision_id,reaction,reactants,products,x,x_unit,y,y_unit,reactant_n_min,reactant_n_max,product_n_min,product_n_max,delta_n_max
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),4000.0,K,3e-15,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),4500.0,K,1.976e-13,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),5000.0,K,7.2943e-13,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),5500.0,K,1.73817e-12,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),6000.0,K,3.39057e-12,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),6500.0,K,5.8112e-12,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),7000.0,K,9.205e-12,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),7500.0,K,1.35952e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),8000.0,K,1.911e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),8500.0,K,2.5802e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),9000.0,K,3.3511e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),9500.0,K,4.25908e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),10000.0,K,5.27774e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),11000.0,K,7.63282e-11,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),12000.0,K,1.0375e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),13000.0,K,1.3515e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),14000.0,K,1.68675e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),15000.0,K,2.0586e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),16000.0,K,2.43984e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),17000.0,K,2.84548e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),18000.0,K,3.25974e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),19000.0,K,3.68424e-10,cm3/s,1,2,1,1,-1
250,H (n=1) + H (n=2) → H+ (n=1) + H (n=1),H (n=1) + H (n=2),H+ (n=1) + H (n=1),20000.0,K,4.12685e-10,cm3/s,1,2,1,1,-1
251,H (n=3) + H (n=1) → H+ (n=1) + H (n=1),H (n=3) + H (n=1),H+ (n=1) + H (n=1),3000.0,K,5.85600000000001e-12,cm3/s,1,3,1,1,-2
